名称,地形,季节,种子售价,果实原本的单价,果实售价
草莓,平原,春,1014,320,1600
菠菜,平原,春,567,960,960
辣椒,平原,春,479,736,736
小西红柿,平原,春,1297,336,1680
黄瓜,平原,夏,347,720,720
樱桃,平原,夏,608,400,1200
甜瓜,平原,夏,935,368,1472
金桔,平原,夏,1323,480,1920
苏子叶,平原,秋,336,608,608
青椒,平原,秋,1248,656,1968
红豆,平原,秋,721,1152,1152
葱,平原,秋,334,672,672
桔子,平原,冬,1723,752,2256
白菜,平原,冬,1402,2320,2320
芦笋,平原,冬,1248,1648,1648
葫芦,平原,冬,1427,946,1892
红叶甜菜,沿海,春,432,576,1152
花生,沿海,春,1203,400,1600
西红柿,沿海,春,1216,512,2048
生菜,沿海,春,265,336,672
西瓜,沿海,夏,1554,976,1952
香蕉,沿海,夏,1417,416,2080
葡萄,沿海,夏,2275,928,2784
哈密瓜,沿海,夏,1241,640,1920
梨,沿海,秋,2162,1136,2908
桃子,沿海,秋,1044,344,1720
洋白菜,沿海,秋,869,976,1652
水萝卜,沿海,秋,592,320,960
红辣椒,沿海,冬,2304,1296,3188
梅子,沿海,冬,1353,656,1968
石榴,沿海,冬,1729,850,2550
猕猴桃,沿海,冬,1690,720,2160
土豆,山地,春,1303,784,2052
芥末,山地,春,522,736,936
南瓜,山地,春,1518,864,2028
豆子,山地,春,1139,416,1664
大蒜,山地,夏,595,976,976
胡萝卜,山地,夏,1092,1296,1696
玉米,山地,夏,2024,1168,2636
西兰花,山地,夏,812,1120,1320
苹果,山地,秋,1331,432,1728
茄子,山地,秋,2337,1280,2660
西葫芦,山地,秋,633,912,912
桔梗,山地,秋,2431,2800,2800
芜菁,山地,冬,931,1264,1264
萝卜,山地,冬,1626,1984,1984
甘蔗,山地,冬,2537,1440,2980
红薯,山地,冬,1858,2528,2528
